Tanggal,Musim,Tahun,Bulan,holiday,weekday,workingday,Cuaca,Reguler,Member,Ttl_Penyewa
2011-01-01,Spring,0,Jan,0,Sabtu,0,Berkabut/Berawan,331,654,985
2011-01-02,Spring,0,Jan,0,Minggu,0,Berkabut/Berawan,131,670,801
2011-01-03,Spring,0,Jan,0,Senin,1,Cerah/Sebagian Berawan,120,1229,1349
2011-01-04,Spring,0,Jan,0,Selasa,1,Cerah/Sebagian Berawan,108,1454,1562
2011-01-05,Spring,0,Jan,0,Rabu,1,Cerah/Sebagian Berawan,82,1518,1600
2011-01-06,Spring,0,Jan,0,Kamis,1,Cerah/Sebagian Berawan,88,1518,1606
2011-01-07,Spring,0,Jan,0,Jumat,1,Berkabut/Berawan,148,1362,1510
2011-01-08,Spring,0,Jan,0,Sabtu,0,Berkabut/Berawan,68,891,959
2011-01-09,Spring,0,Jan,0,Minggu,0,Cerah/Sebagian Berawan,54,768,822
2011-01-10,Spring,0,Jan,0,Senin,1,Cerah/Sebagian Berawan,41,1280,1321
2011-01-11,Spring,0,Jan,0,Selasa,1,Berkabut/Berawan,43,1220,1263
2011-01-12,Spring,0,Jan,0,Rabu,1,Cerah/Sebagian Berawan,25,1137,1162
2011-01-13,Spring,0,Jan,0,Kamis,1,Cerah/Sebagian Berawan,38,1368,1406
2011-01-14,Spring,0,Jan,0,Jumat,1,Cerah/Sebagian Berawan,54,1367,1421
2011-01-15,Spring,0,Jan,0,Sabtu,0,Berkabut/Berawan,222,1026,1248
2011-01-16,Spring,0,Jan,0,Minggu,0,Cerah/Sebagian Berawan,251,953,1204
2011-01-17,Spring,0,Jan,1,Senin,0,Berkabut/Berawan,117,883,1000
2011-01-18,Spring,0,Jan,0,Selasa,1,Berkabut/Berawan,9,674,683
2011-01-19,Spring,0,Jan,0,Rabu,1,Berkabut/Berawan,78,1572,1650
2011-01-20,Spring,0,Jan,0,Kamis,1,Berkabut/Berawan,83,1844,1927
2011-01-21,Spring,0,Jan,0,Jumat,1,Cerah/Sebagian Berawan,75,1468,1543
2011-01-22,Spring,0,Jan,0,Sabtu,0,Cerah/Sebagian Berawan,93,888,981
2011-01-23,Spring,0,Jan,0,Minggu,0,Cerah/Sebagian Berawan,150,836,986
2011-01-24,Spring,0,Jan,0,Senin,1,Cerah/Sebagian Berawan,86,1330,1416
2011-01-25,Spring,0,Jan,0,Selasa,1,Berkabut/Berawan,186,1799,1985
2011-01-26,Spring,0,Jan,0,Rabu,1,Salju Ringan/Hujan,34,472,506
2011-01-27,Spring,0,Jan,0,Kamis,1,Cerah/Sebagian Berawan,15,416,431
2011-01-28,Spring,0,Jan,0,Jumat,1,Berkabut/Berawan,38,1129,1167
2011-01-29,Spring,0,Jan,0,Sabtu,0,Cerah/Sebagian Berawan,123,975,1098
2011-01-30,Spring,0,Jan,0,Minggu,0,Cerah/Sebagian Berawan,140,956,1096
2011-01-31,Spring,0,Jan,0,Senin,1,Berkabut/Berawan,42,1459,1501
2011-02-01,Spring,0,Feb,0,Selasa,1,Berkabut/Berawan,47,1313,1360
2011-02-02,Spring,0,Feb,0,Rabu,1,Berkabut/Berawan,72,1454,1526
2011-02-03,Spring,0,Feb,0,Kamis,1,Cerah/Sebagian Berawan,61,1489,1550
2011-02-04,Spring,0,Feb,0,Jumat,1,Berkabut/Berawan,88,1620,1708
2011-02-05,Spring,0,Feb,0,Sabtu,0,Berkabut/Berawan,100,905,1005
2011-02-06,Spring,0,Feb,0,Minggu,0,Cerah/Sebagian Berawan,354,1269,1623
2011-02-07,Spring,0,Feb,0,Senin,1,Cerah/Sebagian Berawan,120,1592,1712
2011-02-08,Spring,0,Feb,0,Selasa,1,Cerah/Sebagian Berawan,64,1466,1530
2011-02-09,Spring,0,Feb,0,Rabu,1,Berkabut/Berawan,53,1552,1605
2011-02-10,Spring,0,Feb,0,Kamis,1,Cerah/Sebagian Berawan,47,1491,1538
2011-02-11,Spring,0,Feb,0,Jumat,1,Cerah/Sebagian Berawan,149,1597,1746
2011-02-12,Spring,0,Feb,0,Sabtu,0,Cerah/Sebagian Berawan,288,1184,1472
2011-02-13,Spring,0,Feb,0,Minggu,0,Cerah/Sebagian Berawan,397,1192,1589
2011-02-14,Spring,0,Feb,0,Senin,1,Cerah/Sebagian Berawan,208,1705,1913
2011-02-15,Spring,0,Feb,0,Selasa,1,Cerah/Sebagian Berawan,140,1675,1815
2011-02-16,Spring,0,Feb,0,Rabu,1,Cerah/Sebagian Berawan,218,1897,2115
2011-02-17,Spring,0,Feb,0,Kamis,1,Cerah/Sebagian Berawan,259,2216,2475
2011-02-18,Spring,0,Feb,0,Jumat,1,Cerah/Sebagian Berawan,579,2348,2927
2011-02-19,Spring,0,Feb,0,Sabtu,0,Cerah/Sebagian Berawan,532,1103,1635
2011-02-20,Spring,0,Feb,0,Minggu,0,Cerah/Sebagian Berawan,639,1173,1812
2011-02-21,Spring,0,Feb,1,Senin,0,Berkabut/Berawan,195,912,1107
2011-02-22,Spring,0,Feb,0,Selasa,1,Cerah/Sebagian Berawan,74,1376,1450
2011-02-23,Spring,0,Feb,0,Rabu,1,Cerah/Sebagian Berawan,139,1778,1917
2011-02-24,Spring,0,Feb,0,Kamis,1,Berkabut/Berawan,100,1707,1807
2011-02-25,Spring,0,Feb,0,Jumat,1,Berkabut/Berawan,120,1341,1461
